id	olalde_cluster
I14688	Albania_BA_IA
I14692	Albania_BA_IA
I14690	Albania_BA_IA
I16251	Albania_BA_IA
I16254	Albania_BA_IA
I16256	Albania_BA_IA
ZBC_IPB001.B-C0101_Luk2-Pinarbasi	Anatolia_Epipaleolithic
I1579	Anatolia_N
I1585	Anatolia_N
I1100	Anatolia_N
I1102	Anatolia_N
I1099	Anatolia_N
I1103	Anatolia_N
I1101	Anatolia_N
I1097	Anatolia_N
I0744	Anatolia_N
I1096	Anatolia_N
I1098	Anatolia_N
I0708	Anatolia_N
I0745	Anatolia_N
I0746	Anatolia_N
I0707	Anatolia_N
I0709	Anatolia_N
I0736	Anatolia_N
I0726	Anatolia_N
I0723	Anatolia_N
I0724	Anatolia_N
I0727	Anatolia_N
I1580	Anatolia_N
I1581	Anatolia_N
I1583	Anatolia_N
ZHAG_BON004.A0101_Luk10	Anatolia_N
ZHAJ_BON034.A0101_Luk9	Anatolia_N
ZHJ_BON024.A0101_Luk84	Anatolia_N
ZKO_BON001.A0101_Luk7	Anatolia_N
ZMOJ_BON014.A0101_Luk21	Anatolia_N
AV1	CEE_EarlyMedieval
I20515	CEE_EarlyMedieval
Kivutkalns164	Baltic_BA
Kivutkalns194	Baltic_BA
Kivutkalns215	Baltic_BA
Kivutkalns25	Baltic_BA
Turlojiske1932	Baltic_BA
Turlojiske1	Baltic_BA
Turlojiske3	Baltic_BA
Turlojiske5	Baltic_BA
KK1.SG	CHG
SATP.SG	CHG
I5723	Croatia_IA
I5724	Croatia_IA
I5725	Croatia_IA
I5726	Croatia_IA
I5727	Croatia_IA
I5728	Croatia_IA
I5729	Croatia_IA
I18831	Croatia_IA
I23911	Croatia_IA
I23904	Croatia_IA
I23995	Croatia_IA
I23996	Croatia_IA
I24345	Croatia_IA
I24639	Croatia_IA
I24638	Croatia_IA
I24879	Croatia_IA
I24882	Croatia_IA
I26742	Croatia_IA
I4331	CroatiaMLBA_SloveniaIA
I4332	CroatiaMLBA_SloveniaIA
I5691	CroatiaMLBA_SloveniaIA
I5692	CroatiaMLBA_SloveniaIA
I5693	CroatiaMLBA_SloveniaIA
I18413	CroatiaMLBA_SloveniaIA
I18415	CroatiaMLBA_SloveniaIA
I18416	CroatiaMLBA_SloveniaIA
I18417	CroatiaMLBA_SloveniaIA
I18082	CroatiaMLBA_SloveniaIA
I18071	CroatiaMLBA_SloveniaIA
I18077	CroatiaMLBA_SloveniaIA
I18074	CroatiaMLBA_SloveniaIA
I18073	CroatiaMLBA_SloveniaIA
I18078	CroatiaMLBA_SloveniaIA
I18075	CroatiaMLBA_SloveniaIA
I18087	CroatiaMLBA_SloveniaIA
I18072	CroatiaMLBA_SloveniaIA
I18732	CroatiaMLBA_SloveniaIA
I18724	CroatiaMLBA_SloveniaIA
I18727	CroatiaMLBA_SloveniaIA
I18734	CroatiaMLBA_SloveniaIA
I18739	CroatiaMLBA_SloveniaIA
I18725	CroatiaMLBA_SloveniaIA
I18721	CroatiaMLBA_SloveniaIA
I18737	CroatiaMLBA_SloveniaIA
I18729	CroatiaMLBA_SloveniaIA
I18720	CroatiaMLBA_SloveniaIA
I18730	CroatiaMLBA_SloveniaIA
I18738	CroatiaMLBA_SloveniaIA
I18723	CroatiaMLBA_SloveniaIA
I18733	CroatiaMLBA_SloveniaIA
I22940	CroatiaMLBA_SloveniaIA
I22938	CroatiaMLBA_SloveniaIA
I22937	CroatiaMLBA_SloveniaIA
I23978	CroatiaMLBA_SloveniaIA
I5698	CroatiaMLBA_SloveniaIA
I5689	CroatiaMLBA_SloveniaIA
I5690	CroatiaMLBA_SloveniaIA
I5697	CroatiaMLBA_SloveniaIA
I18719	CroatiaMLBA_SloveniaIA
I0124	EHG
I0211	EHG
I0061	EHG
Popovo2	EHG
UzOO77	EHG
I13620	SouthEastFrance_IA
I13621	SouthEastFrance_IA
I13623	SouthEastFrance_IA
I19916	SouthEastFrance_IA
I19917	SouthEastFrance_IA
I19918	SouthEastFrance_IA
I9010	Aegean_BA_IA
I9006	Aegean_BA_IA
I9033	Aegean_BA_IA
I9041	Aegean_BA_IA
I8338	Aegean_BA_IA
I8205	Aegean_BA_IA
I8208	Aegean_BA_IA
I8215	Aegean_BA_IA
I15571	Aegean_BA_IA
I15582	Aegean_BA_IA
I16709	Aegean_BA_IA
I13578	Aegean_BA_IA
I13579	Aegean_BA_IA
I19366	Aegean_BA_IA
I13428	Aegean_BA_IA
I13518	Aegean_BA_IA
I13531	Aegean_BA_IA
I13580	Aegean_BA_IA
I13519_d	Aegean_BA_IA
I13433	Aegean_BA_IA
I13514	Aegean_BA_IA
I13516	Aegean_BA_IA
I13577	Aegean_BA_IA
I19364	Aegean_BA_IA
I0070	Greece_Minoan
I0071	Greece_Minoan
I0073	Greece_Minoan
I0074	Greece_Minoan
I9005	Greece_Minoan
I9127	Greece_Minoan
I9128	Greece_Minoan
I9129	Greece_Minoan
I9130	Greece_Minoan
I9131	Greece_Minoan
I14916	Greece_Minoan
I3322	Iberia_IA
I3324	Iberia_IA
I3323	Iberia_IA
I3759	Iberia_IA
I3326	Iberia_IA
I3327	Iberia_IA
I3757	Iberia_IA
I3758	Iberia_IA
I12410	Iberia_IA
I12878	Iberia_IA
I12879	Iberia_IA
I12877	Iberia_IA
I12561	Iberia_IA
I12640	Iberia_IA
I12641	Iberia_IA
I12642	Iberia_IA
I3321_published	Iberia_IA
I3320	Iberia_IA
I4556	Iberia_IA
I12171	Iberia_IA
I19989	Iberia_IA
I19722	Iberia_IA
I19990	Iberia_IA
I19988	Iberia_IA
I19987	Iberia_IA
I19991	Iberia_IA
I4246_published	North_Africa_CA
I15940	North_Africa_CA
I1290	Iran_N
I1944	Iran_N
I1945	Iran_N
I1947	Iran_N
I1949	Iran_N
I1954	Iran_N
I1951	Iran_N
I7527	Iran_N
I4081_published	Iron_Gates_HG
I4655_published	Iron_Gates_HG
I4657_published	Iron_Gates_HG
I4871	Iron_Gates_HG
I4872	Iron_Gates_HG
I4873	Iron_Gates_HG
I4874	Iron_Gates_HG
I4875	Iron_Gates_HG
I4876	Iron_Gates_HG
I4877	Iron_Gates_HG
I4878	Iron_Gates_HG
I4880	Iron_Gates_HG
I4881_published	Iron_Gates_HG
I4914_published	Iron_Gates_HG
I4915	Iron_Gates_HG
I4916	Iron_Gates_HG
I4917	Iron_Gates_HG
I5233	Iron_Gates_HG
I5234	Iron_Gates_HG
I5235	Iron_Gates_HG
I5236	Iron_Gates_HG
I5237	Iron_Gates_HG
I5238	Iron_Gates_HG
I5239	Iron_Gates_HG
I5240	Iron_Gates_HG
I5242	Iron_Gates_HG
I5244	Iron_Gates_HG
I5771	Iron_Gates_HG
I5772	Iron_Gates_HG
I5773_published	Iron_Gates_HG
I5401	Iron_Gates_HG
I5402	Iron_Gates_HG
I5407	Iron_Gates_HG
I5408	Iron_Gates_HG
I5409_published	Iron_Gates_HG
I5411	Iron_Gates_HG
I4582	Iron_Gates_HG
I4607	Iron_Gates_HG
I4660	Iron_Gates_HG
I4870	Iron_Gates_HG
I5436	Iron_Gates_HG
I7182	Israel_MLBA
I2190	Israel_MLBA
I2195	Israel_MLBA
I2198	Israel_MLBA
I3965	Israel_MLBA
I3966	Israel_MLBA
I4518	Israel_MLBA
I4519	Israel_MLBA
I4525	Israel_MLBA
I3832	Israel_MLBA
I7002	Israel_MLBA
I6923	Israel_MLBA
I7003	Israel_MLBA
I10092	Israel_MLBA
I10093	Israel_MLBA
I10097	Israel_MLBA
I10099	Israel_MLBA
I10101	Israel_MLBA
I10104	Israel_MLBA
I10106	Israel_MLBA
I10264	Israel_MLBA
I10265	Israel_MLBA
I10266	Israel_MLBA
I10268	Israel_MLBA
I8187	Israel_MLBA
I10771	Israel_MLBA
I10770	Israel_MLBA
I10768	Israel_MLBA
I10359	Israel_MLBA
I10263	Israel_MLBA
I0861	Israel_Natufian
I1072_published	Israel_Natufian
I1069_published	Israel_Natufian
I1687_published	Israel_Natufian
I1690_published	Israel_Natufian
I1685	Israel_Natufian
AIG001	Kazakhstan_Sarmatian_IA
